"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:25:00",NA,NA,NA,267,33,NA,NA,NA,NA,1557606300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:30:00",NA,NA,NA,770,67.5,NA,NA,NA,NA,1557606600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:35:00",NA,NA,NA,948,128.5,NA,NA,NA,NA,1557606900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:40:00",NA,NA,NA,948,128.5,NA,NA,NA,NA,1557607200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:45:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557607500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:50:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557607800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","20:55:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557608100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:00:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557608400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:05:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557608700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:10:00",NA,NA,NA,948,128.5,NA,NA,NA,NA,1557609000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:15:00",NA,NA,NA,948,128.5,NA,NA,NA,NA,1557609300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:20:00",NA,NA,NA,770,67.5,NA,NA,NA,NA,1557609600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:25:00",NA,NA,NA,533,65.5,NA,NA,NA,NA,1557609900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:30:00",NA,NA,NA,415,64,NA,NA,NA,NA,1557610200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:35:00",NA,NA,NA,74,16,NA,NA,NA,NA,1557610500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:40:00",NA,NA,NA,207,32.5,NA,NA,NA,NA,1557610800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:45:00",NA,NA,NA,326,33,NA,NA,NA,NA,1557611100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:50:00",NA,NA,NA,415,64,NA,NA,NA,NA,1557611400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","21:55:00",NA,NA,NA,207,32.5,NA,NA,NA,NA,1557611700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:00:00",NA,NA,NA,15,15,NA,NA,NA,NA,1557612000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:05:00",NA,NA,NA,267,33,NA,NA,NA,NA,1557612300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:10:00",NA,NA,NA,415,64,NA,NA,NA,NA,1557612600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:15:00",NA,NA,NA,326,33,NA,NA,NA,NA,1557612900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:20:00",NA,NA,NA,207,32.5,NA,NA,NA,NA,1557613200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:25:00",NA,NA,NA,15,15,NA,NA,NA,NA,1557613500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:30:00",NA,NA,NA,267,33,NA,NA,NA,NA,1557613800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:35:00",NA,NA,NA,415,64,NA,NA,NA,NA,1557614100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:40:00",NA,NA,NA,415,64,NA,NA,NA,NA,1557614400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:45:00",NA,NA,NA,207,32.5,NA,NA,NA,NA,1557614700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:50:00",NA,NA,NA,15,15,NA,NA,NA,NA,1557615000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","22:55:00",NA,NA,NA,267,33,NA,NA,NA,NA,1557615300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:00:00",NA,NA,NA,770,67.5,NA,NA,NA,NA,1557615600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:05:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557615900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:10:00",NA,NA,NA,1659,136,NA,NA,NA,NA,1557616200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:15:00",NA,NA,NA,1659,136,NA,NA,NA,NA,1557616500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:20:00",NA,NA,NA,1659,136,NA,NA,NA,NA,1557616800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:25:00",NA,NA,NA,1659,136,NA,NA,NA,NA,1557617100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:30:00",NA,NA,NA,1422,133,NA,NA,NA,NA,1557617400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:35:00",NA,NA,NA,1422,133,NA,NA,NA,NA,1557617700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:40:00",NA,NA,NA,1185,131,NA,NA,NA,NA,1557618000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:45:00",NA,NA,NA,948,128.5,NA,NA,NA,NA,1557618300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:50:00",NA,NA,NA,652,66,NA,NA,NA,NA,1557618600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","11-May-2019","23:55:00",NA,NA,NA,267,33,NA,NA,NA,NA,1557618900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:00:00",NA,NA,NA,9,9.5,NA,NA,NA,NA,1557619200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:05:00",NA,NA,NA,258,41.5,NA,NA,NA,NA,1557619500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:10:00",NA,NA,NA,332,43,NA,NA,NA,NA,1557619800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:15:00",NA,NA,NA,129,21,NA,NA,NA,NA,1557620100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:20:00",NA,NA,NA,92,20.5,NA,NA,NA,NA,1557620400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:25:00",NA,NA,NA,203,22,NA,NA,NA,NA,1557620700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:30:00",NA,NA,NA,258,41.5,NA,NA,NA,NA,1557621000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:35:00",NA,NA,NA,92,20.5,NA,NA,NA,NA,1557621300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:40:00",NA,NA,NA,92,20.5,NA,NA,NA,NA,1557621600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:45:00",NA,NA,NA,203,22,NA,NA,NA,NA,1557621900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:50:00",NA,NA,NA,166,22,NA,NA,NA,NA,1557622200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","00:55:00",NA,NA,NA,9,9.5,NA,NA,NA,NA,1557622500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:00:00",NA,NA,NA,92,20.5,NA,NA,NA,NA,1557622800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:05:00",NA,NA,NA,590,84,NA,NA,NA,NA,1557623100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:10:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557623400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:15:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557623700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:20:00",NA,NA,NA,737,86,NA,NA,NA,NA,1557624000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:25:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557624300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:30:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557624600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:35:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557624900,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:40:00",NA,NA,NA,590,84,NA,NA,NA,NA,1557625200,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:45:00",NA,NA,NA,258,41.5,NA,NA,NA,NA,1557625500,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:50:00",NA,NA,NA,9,9.5,NA,NA,NA,NA,1557625800,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","01:55:00",NA,NA,NA,92,20.5,NA,NA,NA,NA,1557626100,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","02:00:00",NA,NA,NA,129,21,NA,NA,NA,NA,1557626400,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","02:05:00",NA,NA,NA,590,84,NA,NA,NA,NA,1557626700,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","02:10:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557627000,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","02:15:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557627300,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","02:20:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557627600,"portal"
"ZcTag083_DUML",180755,1,"Transmission","Mk10","12-May-2019","02:25:00",NA,NA,NA,884,88.5,NA,NA,NA,NA,1557627900,"portal"
